,id,scaled_mfcc,scaled_rh,key,scale,scaled_levenshtein,aggregated
71,music/Hip Hop/Ice Cube - It Was A Good Day.mp3,0.13207649282097705,0.6903682713463991, D, major,0.27286663260091976,0.3651037989227653
72,music/World Music/The HU - Wolf Totem.mp3,0.4935858500057792,0.37477612342678024, D#, major,0.23045477772100154,0.3662722503845203
73,music/Pop/Camila Cabello - Havana.mp3,0.15093354885141064,0.6774078645660156, G, minor,0.27082268778742974,0.36638803373495205
74,music/Jazz/Keith Jarrett - Part II Tokyo.mp3,0.18023022840300582,0.48354961978061706, E, major,0.4450689831374553,0.369616277107026
75,music/Electronic/Miike Snow - Genghis Khan.mp3,0.10096104010889742,0.690425291728442, A#, major,0.32754215636177825,0.37297616273303924
76,music/Jazz/Whiplash Soundtrack - Caravan.mp3,0.3721096423249345,0.2760700248464128, C#, major,0.47675012774655084,0.374976598305966
77,music/Hip Hop/Grits - Here We Go.mp3,0.06237661599771314,0.7808402132228278, B, minor,0.28819621870209505,0.3771376826408786
78,music/World Music/Wardruna - Wunjo.mp3,0.5378479260384934,0.3304229544494626, B, minor,0.26469085334695963,0.3776539112783052
79,music/Reggae/Damian Marley - Pimpa's Paradise.mp3,0.19050504498088983,0.6638039704476959, C, major,0.2866632600919775,0.3803240918401878
80,music/Hip Hop/257ers - Auseinanda.mp3,0.147148104146837,0.7265214998253204, F, minor,0.2687787429739397,0.38081611564869905
81,music/Hip Hop/Sido - Spring rauf.mp3,0.14210187481139985,0.7646961286818804, G, minor,0.2503832396525294,0.38572708104860315
82,music/Hip Hop/Kontra K - Erfolg ist kein Glück.mp3,0.07256655645437177,0.7734990577322223, C#, major,0.3117015840572305,0.38592239941460815
83,music/Soundtrack/Interstellar - No Time for Caution.mp3,0.41065352225539775,0.4989702532539989, A, minor,0.2585590189064895,0.38939426480529543
84,music/Reggae/Damian Marley - Move!.mp3,0.10493973328740992,0.7958383232794816, G#, minor,0.27286663260091976,0.3912148963892705
85,music/Electronic/Alan Walker - Faded.mp3,0.3388579840012784,0.5305840390168922, F#, major,0.30505876341338783,0.3915002621438528
86,music/Reggae/Damian Marley - Beautiful.mp3,0.10837859494159893,0.7690362784029299, D#, major,0.29943791517629026,0.392284262840273
87,music/Hip Hop/Dr Dre - Still DRE [feat Snoop D.ogg].mp3,0.10608412157523488,0.8330969678119545, A, minor,0.28819621870209505,0.4091257693630948
88,music/Reggae/Damian Marley - Hey Girl.mp3,0.23940261173855,0.7618449505270648, F#, minor,0.2452733776188043,0.415506979961473
89,music/Hip Hop/Chiddy Bang - Opposite Of Adults.mp3,0.129657938504526,0.8078471974641278, D, major,0.31834440470107306,0.4186165135565756
90,music/Reggae/Damian Marley - All Night.mp3,0.10299910334938325,0.9427141590515562, A#, major,0.2391415431783342,0.42828493519309124
91,music/Soundtrack/Mass Effect 3 - Leaving Earth.mp3,0.6495099693352665,0.3844226280733847, E, minor,0.2672457843638222,0.4337261272574911
92,music/Electronic/Marshmello & Anne-Marie - Friends.mp3,0.15123120010581,1.0, A, minor,0.2738886050076648,0.47503993503782493
93,music/Electronic/Caravan Palace - Lone Digger.mp3,0.39908198278182583,0.7562796976186078, A#, minor,0.2764435360245273,0.47726840547498695
94,music/Reggae/Damian Marley - Road To Zion.mp3,0.5994901590485787,0.6868187724458109, F, minor,0.2401635155850792,0.5088241490264896
95,music/Pop/Michael Jackson - They Don't Care About Us.mp3,0.32883754731002873,0.9215418629409745, G, major,0.27695452222789985,0.509111310826301
96,music/Klassik/Liszt - Totentanz.mp3,0.44177986553440646,0.4344687493712449, D, minor,0.7353091466530404,0.5371859205195639
97,music/Klassik/Rachmaninoff - The Isle of the Dead Op 29.mp3,0.18541264739900534,0.5447360683977376, A, minor,0.9039345937659683,0.5446944365209038
98,music/World Music/Estas Tonne - The Song of the Butterfly.mp3,0.32059860616257974,0.46431335252727934, C, minor,1.0,0.5949706528966198
99,music/Soundtrack/Pirates Of The Carribean - Hans Zimmer - Davy Jones.mp3,1.0,0.5430123350912099, D, major,0.3014818599897803,0.6148313983603301
