,id,scaled_mfcc,scaled_rp,scaled_bh,bpm,scaled_rh,scaled_levenshtein,key,scale,scaled_corr,scaled_skl,scaled_js,aggregated
32,music/Jazz/BuddyRich-Caravan(Remastered2015)mp3,0.25364333603119465,0.2711119194791482,0.6698713525588993, 162.848068237,0.2540487542837669,0.5627392598894088, F, minor,0.8213576893439581,0.2477064075683235,0.14642030807532247,0.40336237840375283
33,music/Klassik/JStraussI_Radetzky-MarschOp228mp3,0.3562017464043876,0.339538445875211,0.7304059032328183, 106.524047852,0.33025210423099527,0.07273500638026371, D, major,0.9788069785535375,0.2721728503398353,0.1470971930844618,0.4034012785126888
34,music/Metal/Amorphis-HouseOfSleepmp3,0.49082613205444653,0.29368461243708954,0.8289365129350751, 125.022087097,0.25261468266487974,0.1748192258613356, C, minor,0.9017408401341749,0.17865059859272553,0.11671841322779862,0.40474887723844066
35,music/Soundtrack/Interstellar-NoTimeforCautionmp3,0.2457247276584407,0.3775476284305556,0.8733519751911877, 119.966659546,0.4437063796022318,0.16503615482773287, A, minor,0.7995717971731601,0.19174234619823438,0.14658372230936148,0.405408091423863
36,music/Rock/BillyTalent-CurefortheEnemymp3,0.311936511447478,0.39726420429761417,0.7103226766151982, 117.713493347,0.40732421521886997,0.1624840493407061, D#, minor,0.9341613112351194,0.20867860967650034,0.11791218840130878,0.4062604707790993
37,music/Rock/Blink-182-Adam'sSongmp3,0.3662263287804829,0.3574347130261088,0.7975821561351476, 136.178466797,0.3107390348525552,0.17779668226286688, F, major,0.9063465308173281,0.22325834144342466,0.11651629840276674,0.40698751071508515
38,music/WorldMusic/Wardruna-Wunjomp3,0.3931458235933837,0.31276703094306246,0.8478207880990061, 139.853485107,0.2898148034631102,0.26244151424925566, B, minor,0.8949806234074568,0.13207670736070434,0.13450332225808156,0.40844382667175755
39,music/Electronic/Dynatron-PulsePowermp3,0.40078127382622086,0.40115756339176395,0.8777557788041256, 116.004959106,0.3599586688171566,0.26499361973628244, D, minor,0.7583571300076696,0.12960512450086925,0.10479412797505315,0.4121754108823927
40,music/Soundtrack/Vikings-FlokiAppearstoKillAthelstanmp3,0.48837459720595405,0.34286925852919675,0.6552885713706155, 89.8669128418,0.3972664899904606,0.11654615057422374, C#, major,0.9697346745162041,0.20243794337231266,0.12943495273097386,0.4127440797862426
41,music/Pop/Sigrid-Strangersmp3,0.17528946711374083,0.4952519632720348,0.7832068207607203, 116.273414612,0.562838823595321,0.1484474691620587, B, minor,0.860908586136395,0.1655393490027473,0.11382830715225695,0.4131638482744094
42,music/Klassik/Pachelbel_CanonAndGigueInDMajor-1Canonmp3,0.55927948670256,0.35146433169783736,0.7070342475691486, 152.013336182,0.3560612808926654,0.14504466184602297, C#, major,0.9408830731844392,0.15844535324399503,0.1438940143708629,0.4202633061884414
