,id,scaled_rp,key,scale,scaled_levenshtein,scaled_mfcc,aggregated
81,music/Jazz&Klassik/BerühmteOrgelwerke/10Suitegothiqueop25-Boellmannmp3,0.05879091341073224, C, minor,0.0785997357992074,0.0703624379002606,0.06925102903673341
82,music/Jazz&Klassik/PianoNocturnes/07_VariousArtists_RachmaninovElégieOp3No1mp3,0.036769380260333315, D#, minor,0.11999119330691325,0.05136863740053698,0.06937640365592786
83,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/07_HowardShore_TheWoodlandRealm[ExtendedVersion]mp3,0.03917451644680123, D, minor,0.11316600616468515,0.05670985444549912,0.06968345901899517
84,music/Modern&Soundtrack/Soundtrack/Hobbit-AnUnexpectedJourney/05_HowardShore_OverHillmp3,0.04746423281369411, F, major,0.0891677675033025,0.07277422086758986,0.0698020737281955
85,music/Jazz&Klassik/SchöneWeihnacht/13ChorderStaatsoperWienZuBetlehemgeborenmp3,0.07434032296332393, F#, major,0.08058124174372523,0.05559161768425382,0.07017106079710099
86,music/Jazz&Klassik/Sommernacht/14_VariousArtists_Yo-YoMaMalena(Maintheme)mp3,0.04790936866677134, A, minor,0.09092910612065169,0.07188314251644581,0.07024053910128962
87,music/Jazz&Klassik/100MeisterwerkederKlassik/Sibelius_ValsetristeOp44mp3,0.03493818584342801, G, major,0.12043152796125055,0.05548226635549209,0.07028399338672355
88,music/Metal&Rock/FolkMetal/Equilibrium-TurisFratyr/Equilibrium-WaldDerFreiheitmp3,0.0740982688129032, D, minor,0.0772787318361955,0.060009540123049106,0.0704621802573826
89,music/Modern&Soundtrack/Orchestral&Instrumental/AdrianvonZiegler-Starchaser/AdrianVonZiegler-Martyriummp3,0.06172111932427903, E, minor,0.07661822985468957,0.07337488766778853,0.07057141228225237
90,music/Modern&Soundtrack/Soundtrack/Leinwandträume/DieMaskedesZorro(DiegosGoodbye)mp3,0.036190875782389186, A, minor,0.09423161602818142,0.08153290362168918,0.07065179847741992
91,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieGefährten/06_Various_HowardShoreAtTheSignOfThePrancingPonymp3,0.05092053382831527, G, minor,0.07837956847203875,0.08318659564022046,0.07082889931352483
92,music/EasyListening&Vocals/Rick_DeAguiar-For_Taramp3,0.06696546668863795, G, major,0.0841039189784236,0.06154485701544199,0.07087141422750119
93,music/Metal&Rock/FolkMetal/Eluveitie-EvocationIIPantheon/Instrumental/18Nemetonmp3,0.06571107602895333, C, major,0.083223249669749,0.06438301981876926,0.07110578183915721
94,music/Metal&Rock/FolkMetal/Eluveitie-EvocationIIPantheon/18Nemetonmp3,0.06571107602895333, C, major,0.083223249669749,0.06438301981876926,0.07110578183915721
95,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/12_HowardShore_TheHighFells[ExtendedVersion]mp3,0.05527050387256991, D, major,0.08520475561426684,0.074068605615996,0.07151462170094425
96,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/07_HowardShore_TheCourageofHobbitsmp3,0.028166634508083044, C, major,0.08696609423161603,0.10024577621363366,0.07179283498444423
97,music/Classical/Sean_Bennett-Chopin_Nocturne_in_c_minor_opus_posthumousmp3,0.031056572872975714, C#, minor,0.08036107441655659,0.10466820514116681,0.0720286174768997
98,music/Modern&Soundtrack/Soundtrack/DreamfallSoundtrack/14-TheSwamplandsmp3,0.03701520235133988, D, minor,0.07881990312637605,0.10088157523215613,0.07223889356995734
99,music/NewAge/Afshin-Sleepwalkersmp3,0.08691662149530463, D, minor,0.07948040510788199,0.05080932426169757,0.07240211695496139
100,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/01_HowardShore_TheQuestforErebormp3,0.03816631025929427, D, minor,0.08212241303390577,0.09728225944806733,0.07252366091375578
101,music/Modern&Soundtrack/Soundtrack/DreamfallSoundtrack/16-ZoЙ'sTheme(bonustrack)mp3,0.060012475630689836, C, major,0.0845442536327609,0.07318476577857497,0.0725804983473419
102,music/Jazz&Klassik/100MeisterwerkederKlassik/Smetana_MáVlastJB1_112-Vltava(Excerpt)mp3,0.06191756698072376, E, minor,0.07617789520035227,0.07986928975400392,0.07265491731169332
103,music/Classical/Coral_de_S_Domingos-O_Vos_Omnesmp3,0.05391091560610326, E, major,0.08542492294143549,0.07907506033609556,0.07280363296121144
104,music/Jazz&Klassik/TheNewSoundOfClassic/15TheReunionmp3,0.036465630715533486, E, major,0.08696609423161603,0.0951270866611742,0.07285293720277457
105,music/Jazz&Klassik/100MeisterwerkederKlassik/Prokofiev_RomeoAndJulietOp64_Act1-13DanceOfTheKnightsmp3,0.05235045698571737, E, minor,0.09026860413914575,0.07633527207203526,0.07298477773229946
106,music/Classical/Christmas_Celebration-O_Little_Town_Of_Bethlehemmp3,0.09653770981293291, G, major,0.08366358432408631,0.0389499121683722,0.07305040210179715
107,music/Songs/Klassik/PréludeinGminorOp23_5_Allamarciamp3,0.046781395502217146, G, minor,0.08586525759577279,0.08651480798657571,0.07305382036152189
108,music/Jazz&Klassik/PianoPoesie/07_Various_DesmondChildTheStoneQuiltmp3,0.10191612173872594, A#, major,0.08674592690444738,0.03125558577385576,0.0733058781390097
109,music/Jazz&Klassik/100MeisterwerkederKlassik/Falla_Elamorbrujo-RitualFireDance(Excerpt)mp3,0.07598067427803293, C, major,0.08960810215763981,0.054400627909146765,0.07332980144827317
110,music/Modern&Soundtrack/Soundtrack/ThisWarofMineOST/7-PiotrMusial-ThingsRightandWrongmp3,0.041758475387301465, F, minor,0.07287538529282254,0.10543188456879579,0.0733552484163066
111,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieRückkehrDesKönigs/19_Various_AnnieLennoxIntoTheWestmp3,0.04162529618895582, C, major,0.10722148833113165,0.07126007852131945,0.07336895434713564
112,music/Jazz&Klassik/SchöneWeihnacht/03ChorderStaatsoperWienAlleJahrewiedermp3,0.09345440609053375, E, major,0.08630559225011009,0.040677214677914054,0.07347907100618596
113,music/Jazz&Klassik/SchöneWeihnacht/08ChorderStaatsoperWienOhdufröhlichemp3,0.07737043901292903, D, major,0.08806693086745927,0.05503326210664683,0.07349021066234505
114,music/Jazz&Klassik/PianoPerlen/03_Various_EvgeniKissinChopinRegentropfen-Préludemp3,0.028867547639452346, C#, minor,0.1147071774548657,0.07713217941542412,0.07356896816991405
115,music/Modern&Soundtrack/Soundtrack/ThisWarofMineOST/7-PiotrMusial-ThingsRightandWrongwav,0.042681398460565255, F, minor,0.07419638925583444,0.10397511474721335,0.07361763415453769
116,music/Classical/Christmas_Celebration-Silent_Nightmp3,0.0683514923087232, C#, major,0.09863496257155438,0.053974875627402774,0.07365377683589346
117,music/World/El_Rubio-Verdinmp3,0.07237064128750999, D, major,0.09026860413914575,0.05835789306579383,0.07366571283081653
118,music/Modern&Soundtrack/Soundtrack/DreamfallChapters-Soundtrack/SimonPoole-DreamfallChaptersReborn-OriginalSoundtrack-11Europolismp3,0.056450655807794084, D, major,0.10435931307793923,0.06066212080791594,0.07382402989788309
119,music/Modern&Soundtrack/Soundtrack/Hobbit-BattleOfTheFiveArmies/05_HowardShore_TheRuinsofDalemp3,0.045730234792031754, D, minor,0.07375605460149713,0.10211788957226421,0.07386805965526437
120,music/Modern&Soundtrack/Soundtrack/Leinwandträume/MaryReilly(Filmthema)mp3,0.03910910664541839, F, major,0.08256274768824307,0.10018128960408337,0.07395104797924827
121,music/Modern&Soundtrack/Orchestral&Instrumental/WimMertens-StruggleforPleasure/05-Bresquemp3,0.07486462263041423, C, major,0.08234258036107442,0.06513527343101483,0.07411415880750116
122,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieZweiTürme/01_HowardShore_FoundationsOfStonemp3,0.06441561275789927, E, minor,0.08388375165125496,0.07421613496519368,0.07417183312478264
123,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieRückkehrDesKönigs/09_Various_HowardShoreCirithUngolmp3,0.024982051425314327, C, major,0.0845442536327609,0.11316606877336774,0.07423079127714766
124,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/01_HowardShore_ThriceWelcomemp3,0.06085501597145596, D, minor,0.0781594011448701,0.08422505186194915,0.07441315632609173
125,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieZweiTürme/18_HowardShore_SamwiseTheBravemp3,0.04297692854152977, D, major,0.08762659621312198,0.09333533270676009,0.07464628582047061
126,music/Jazz&Klassik/100MeisterwerkederKlassik/Bizet_L'arlesiennesuiten°1(Excerpt)mp3,0.08213337122742258, C, minor,0.07441655658300309,0.06764285039123896,0.07473092606722154
127,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/08_HowardShore_InsideInformationmp3,0.08148761621646516, A, minor,0.07926023778071334,0.06381005737490507,0.07485263712402786
128,music/Jazz&Klassik/PianoNocturnes/02_VariousArtists_GriegNotturnoenutmajeur~inCmajormp3,0.013919683624436324, C, major,0.08828709819462792,0.12251090343056645,0.07490589508321023
129,music/Modern&Soundtrack/Soundtrack/GameofThrones-Season6/07-MyWatchHasEndedmp3,0.06160748400136545, C, minor,0.07595772787318363,0.08759723087573855,0.07505414758342921
130,music/Songs/Klassik/Rachmaninov-PréludeinCsharpminorOp3No2mp3,0.04979696688936417, C#, minor,0.06516952884191986,0.11044689783053196,0.07513779785393866
131,music/Klassik/Rachmaninov-PréludeinCsharpminorOp3No2mp3,0.04979696688936417, C#, minor,0.06516952884191986,0.11044689783053196,0.07513779785393866
132,music/Soundtracks&More/Coral_de_S_Domingos-Natal_de_Elvasmp3,0.030044751109693506, F, minor,0.09357111404667548,0.10200619573495086,0.07520735363043995
133,music/Soundtracks&More/Edgen_Animations-A_Better_Placemp3,0.03528318095424714, F, major,0.11338617349185381,0.07709595979705675,0.07525510474771924
134,music/Modern&Soundtrack/Soundtrack/DarksoulsIII-Soundtrack/03-Prologue-YukaKitamuramp3,0.07135996020132317, C, minor,0.07045354469396742,0.08419170492727901,0.07533506994085654
135,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieGefährten/16_Various_HowardShoreAmonHenmp3,0.04176365167289314, A, minor,0.09973579920739763,0.08456762074533364,0.0753556905418748
136,music/Jazz&Klassik/Träumerei/15Skrjabin-EtueNr11b-Mollop8mp3,0.04406265135590845, A#, minor,0.07948040510788199,0.10259683248698626,0.07537996298359223
137,music/Metal&Rock/Metalcore/WhileSheSleeps/WhileSheSleeps-Brainwashed/01TheDevidemp3,0.049116040314971174, G, major,0.0904887714663144,0.0868511283771724,0.07548531338615266
138,music/Jazz&Klassik/PianoPoesie/03_Various_JimBrickmanNightPrayermp3,0.09461474236444753, F, major,0.07970057243505063,0.052360459849251945,0.07555859154958337
139,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieGefährten/11_Various_HowardShoreTheRingGoesSouthmp3,0.053284593285445866, A, minor,0.07661822985468957,0.09692707456019699,0.0756099659001108
140,music/Soundtrack/Interstellar-NoTimeforCautionmp3,0.058064223859584804, A, minor,0.08740642888595332,0.08155805989135434,0.07567623754563081
141,music/Modern&Soundtrack/Soundtrack/HansZimmer-Interstellar/22-NoTimeforCautionmp3,0.058064223859584804, A, minor,0.08740642888595332,0.08155805989135434,0.07567623754563081
142,music/Modern&Soundtrack/Soundtrack/DreamfallSoundtrack/08-TheUndergroundCavemp3,0.0497674369418877, A, minor,0.07837956847203875,0.09897225223422298,0.07570641921604981
143,music/Modern&Soundtrack/Soundtrack/GameofThrones-Season6/23-TheTower(BonusTrack)mp3,0.057673663434468204, G, minor,0.07904007045354469,0.09056842977096607,0.07576072121965965
144,music/Modern&Soundtrack/Soundtrack/Hobbit-BattleOfTheFiveArmies/12_HowardShore_Thrainmp3,0.079423385998738, C, major,0.08366358432408631,0.06421129176113882,0.07576608736132105
145,music/Modern&Soundtrack/Soundtrack/Hobbit-BattleOfTheFiveArmies/03_HowardShore_TheFallenmp3,0.043300300203150885, D, minor,0.09313077939233817,0.0915540415965465,0.07599504039734518
